Minimum level:7
Runtime (sec):2.1149902000
Support network with minimum level
27 73
73 77
87 48
48 28
39 88
88 40
59 60
60 20
28 14
19 61
19 41
61 95
61 62
41 67
41 65
40 98
98 2
97 26
26 16
25 81
81 24
94 36
36 16
35 91
91 68
8 11
93 94
93 55
55 82
7 10
7 47
47 17
47 87
84 50
50 35
75 76
76 42
77 78
42 58
58 33
57 66
66 29
65 86
86 42
85 56
56 20
82 38
24 70
30 24
95 27
63 96
96 64
51 52
52 30
43 44
44 39
64 34
34 69
20 22
62 79
29 45
45 49
90 78
78 85
70 74
74 59
49 97
49 84
33 46
33 51
46 92
18 53
53 23
83 37
37 89
23 25
38 32
32 57
92 54
54 64
80 71
71 63
17 75
17 18
15 1
1 8
1 21
21 19
69 30
68 9
67 7
31 15
9 13
79 80
79 72
72 43
89 93
89 90
22 40
2 3
2 4
3 5
3 6
16 12
0 83
0 31
