Minimum level:4
Runtime (sec):0.2923860000
Support network with minimum level
3 19
3 32
19 14
19 20
32 41
69 71
71 72
42 28
28 18
27 2
2 31
30 3
6 51
51 54
47 26
26 7
65 48
48 46
17 66
17 10
66 58
77 57
57 45
33 78
78 16
36 34
34 13
53 59
53 62
59 67
59 61
62 42
61 60
60 46
37 39
39 24
0 27
0 75
75 21
75 76
20 8
54 70
67 68
68 56
55 40
40 12
24 6
23 74
74 25
73 36
35 77
63 53
63 64
64 47
25 1
56 65
45 50
50 16
49 69
21 23
21 29
76 58
7 55
29 30
41 73
72 63
70 52
4 5
4 37
16 52
52 9
46 38
38 11
58 42
31 4
31 43
44 22
22 15
43 49
8 44
18 33
15 35
15 17
