Minimum level:2
Runtime (sec):19.1457378000
Support network with minimum level
43 9
43 69
69 53
56 13
58 62
62 33
65 66
66 71
47 34
34 3
33 34
67 18
18 68
68 16
38 48
48 52
57 58
63 64
64 10
8 43
37 49
49 38
49 50
3 32
32 21
50 19
2 27
27 29
27 23
6 8
6 59
59 60
59 7
19 15
15 6
21 22
21 14
22 45
45 42
52 16
51 26
26 54
25 1
1 31
1 39
54 67
53 54
41 44
44 42
24 30
30 63
23 61
61 65
35 36
36 72
39 40
39 47
40 41
60 24
31 4
31 37
28 56
55 70
70 28
10 17
17 12
17 46
42 20
20 11
72 5
71 57
16 55
29 35
0 2
0 25
46 51
