Minimum level:3
Runtime (sec):0.7969746000
Support network with minimum level
86 54
54 38
37 54
35 36
36 32
60 40
40 72
5 7
5 51
51 16
3 85
85 86
85 59
70 62
62 53
72 48
48 30
47 6
6 43
6 50
61 10
69 70
71 64
64 66
75 69
75 76
76 33
19 79
79 80
63 75
63 22
22 32
21 52
52 73
16 35
45 46
46 55
17 5
53 29
29 14
59 27
30 26
73 77
73 42
68 20
20 18
56 20
2 65
2 23
65 63
23 17
23 71
43 82
50 61
49 21
18 84
84 4
83 84
82 44
77 74
74 58
34 78
78 8
27 57
80 60
55 56
66 24
26 34
33 12
42 45
41 3
24 49
15 31
31 37
31 41
44 28
1 15
39 26
32 47
38 19
58 67
67 9
57 25
25 13
25 39
28 68
9 11
9 81
81 83
0 2
0 1
