Minimum level:3
Runtime (sec):18.3646768000
Support network with minimum level
0 39
0 1
39 21
1 66
21 25
21 61
25 29
25 45
61 57
66 26
26 16
33 34
34 22
50 34
65 63
63 64
57 58
58 4
37 38
37 17
38 28
17 6
16 3
67 16
51 68
68 46
47 52
47 8
52 48
8 56
8 10
43 14
41 44
44 11
5 42
42 47
64 7
3 30
3 13
30 43
62 24
24 36
23 35
35 36
56 9
36 15
15 67
22 46
29 55
29 65
45 59
45 51
32 18
18 2
59 60
60 19
31 40
31 20
40 32
20 32
6 41
6 27
55 53
53 33
48 62
19 54
19 50
54 12
49 37
27 28
28 23
4 49
4 5
46 31
