Minimum level:3
Runtime (sec):127.1435292001
Support network with minimum level
32 76
76 8
75 80
80 4
79 56
56 21
20 56
36 59
59 60
59 57
23 5
23 35
5 67
5 15
35 36
21 27
27 37
25 26
25 9
26 70
70 52
69 45
45 46
65 6
51 66
66 12
52 22
61 79
47 62
62 69
15 48
48 17
43 44
44 19
46 3
38 30
30 68
41 13
55 42
55 61
42 38
54 16
16 29
2 24
24 78
17 74
74 28
73 74
68 34
19 11
11 20
71 72
71 50
72 41
50 43
49 51
67 49
67 73
29 71
64 32
31 18
18 75
78 18
40 38
4 7
7 25
7 10
22 64
34 65
33 54
63 64
37 40
37 14
28 39
39 31
53 47
53 63
1 53
1 23
60 58
58 55
57 33
77 1
0 2
0 77
