Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=43_0.txt,,3,,108.6739505
n=8_r=43_1.txt,,5,,16.8875033
n=8_r=43_2.txt,,3,,76.5645135
n=8_r=43_3.txt,,5,,0.7185815
n=8_r=43_4.txt,,8,,0.6935118
n=8_r=43_5.txt,,5,,0.3620894
n=8_r=43_6.txt,,3,,0.0245877
n=8_r=43_7.txt,,5,,1.9421051
n=8_r=43_8.txt,,4,,0.9605812
n=8_r=43_9.txt,,6,,0.1796791
n=8_r=43_10.txt,,8,,41.3470253
n=8_r=43_11.txt,,4,,0.2451054
n=8_r=43_12.txt,,7,,0.2952698
n=8_r=43_13.txt,,4,,11.7963065
n=8_r=43_14.txt,,6,,2.1893381
n=8_r=43_15.txt,,4,,1.3626255
n=8_r=43_16.txt,,2,,0.3420251
n=8_r=43_17.txt,,6,,30.4455763
n=8_r=43_18.txt,,4,,0.6285536
n=8_r=43_19.txt,,3,,3.3758169001
n=8_r=43_20.txt,,4,,0.2720041
n=8_r=43_21.txt,,3,,8.5097238
n=8_r=43_22.txt,,3,,91.3028852
n=8_r=43_23.txt,,4,,1.9057529
n=8_r=43_24.txt,,2,,2.2209022
n=8_r=43_25.txt,,5,,13.7175792
n=8_r=43_26.txt,,10,,0.8349311
n=8_r=43_27.txt,,4,,0.1539361
n=8_r=43_28.txt,,2,,0.5479733
n=8_r=43_29.txt,,2,,5.8925054
n=8_r=43_30.txt,,5,,1.0963282
n=8_r=43_31.txt,,3,,3.3242819
n=8_r=43_32.txt,,6,,3.2764575
n=8_r=43_33.txt,,1,,0.3170501
n=8_r=43_34.txt,,3,,0.1405244
n=8_r=43_35.txt,,3,,2.4483246
n=8_r=43_36.txt,,7,,1.5377869
n=8_r=43_37.txt,,1,,0.0312871
n=8_r=43_38.txt,,6,,2.5082641
n=8_r=43_39.txt,,3,,1.3648565
n=8_r=43_40.txt,,3,,40.6054876
n=8_r=43_41.txt,,5,,3.3580835
n=8_r=43_42.txt,,5,,0.012121
n=8_r=43_43.txt,,4,,0.1027092
n=8_r=43_44.txt,,4,,6.5563782
n=8_r=43_45.txt,,2,,10.1983728
n=8_r=43_46.txt,,6,,0.1819632
n=8_r=43_47.txt,,3,,1.8395679
n=8_r=43_48.txt,,4,,0.6778327
n=8_r=43_49.txt,,3,,3.3496222
n=8_r=43_50.txt,,4,,0.9202122
n=8_r=43_51.txt,,3,,2.9364698
n=8_r=43_52.txt,,3,,1.6435826
n=8_r=43_53.txt,,6,,3.3390517
n=8_r=43_54.txt,,5,,31.0815677
n=8_r=43_55.txt,,7,,16.7552372
n=8_r=43_56.txt,,8,,0.1059982
n=8_r=43_57.txt,,2,,0.7577202
n=8_r=43_58.txt,,1,,0.2194001
n=8_r=43_59.txt,,10,,4.0151074
n=8_r=43_60.txt,,3,,10.0622178
n=8_r=43_61.txt,,4,,4.3810361
n=8_r=43_62.txt,,2,,6.9697945
n=8_r=43_63.txt,,1,,0.2125199
n=8_r=43_64.txt,,5,,0.0312641
n=8_r=43_65.txt,,7,,0.4985361
n=8_r=43_66.txt,,3,,6.8718073
n=8_r=43_67.txt,,4,,3.7377301001
n=8_r=43_68.txt,,3,,0.5182445
n=8_r=43_69.txt,,5,,1.0080913
n=8_r=43_70.txt,,2,,0.0476767
n=8_r=43_71.txt,,5,,4.5437026
n=8_r=43_72.txt,,3,,0.1591153
n=8_r=43_73.txt,,5,,0.2655181
n=8_r=43_74.txt,,4,,0.026457
n=8_r=43_75.txt,,8,,3.2904084
n=8_r=43_76.txt,,3,,0.1817135
n=8_r=43_77.txt,,2,,0.5970025
n=8_r=43_78.txt,,3,,3.7246381
n=8_r=43_79.txt,,4,,0.0050412
n=8_r=43_80.txt,,7,,0.3586199
n=8_r=43_81.txt,,7,,0.5395831
n=8_r=43_82.txt,,6,,9.9132939
n=8_r=43_83.txt,,3,,9.9079366
n=8_r=43_84.txt,,4,,2.8530584
n=8_r=43_85.txt,,2,,0.4488439
n=8_r=43_86.txt,,6,,1.1145953
n=8_r=43_87.txt,,3,,6.1212726
n=8_r=43_88.txt,,8,,0.4215628
n=8_r=43_89.txt,,7,,0.6279775
n=8_r=43_90.txt,,7,,1.4358825
n=8_r=43_91.txt,,4,,4.4666178
n=8_r=43_92.txt,,4,,50.7962367
n=8_r=43_93.txt,,3,,4.4454043
n=8_r=43_94.txt,,3,,0.267031
n=8_r=43_95.txt,,5,,3.6488267
n=8_r=43_96.txt,,4,,11.6915255
n=8_r=43_97.txt,,7,,4.4272211
n=8_r=43_98.txt,,5,,2.2183267
n=8_r=43_99.txt,,3,,33.8020461
