Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=16_0.txt,1,1,0.05653062497731298,0.007373125001322478
n=8_r=16_1.txt,0,0,0.00047774997074157,0.0004196660011075437
n=8_r=16_2.txt,1,1,0.05299908301094547,0.002896459016483277
n=8_r=16_3.txt,1,1,0.12951400002930313,0.008530166000127792
n=8_r=16_4.txt,1,1,0.03608087496832013,0.003880250034853816
n=8_r=16_5.txt,1,1,0.10445079096825793,0.005549583991523832
n=8_r=16_6.txt,2,2,0.16932279098546132,0.010950625000987202
n=8_r=16_7.txt,0,0,0.000572292017750442,0.0004127919673919678
n=8_r=16_8.txt,3,3,0.027588666998781264,0.007158542051911354
n=8_r=16_9.txt,1,1,0.14076379197649658,0.0201183749595657
n=8_r=16_10.txt,0,0,0.0004901249776594341,0.00044816697482019663
n=8_r=16_11.txt,1,1,0.24985037499573082,0.05026170797646046
n=8_r=16_12.txt,1,1,0.084169874957297,0.00840950000565499
n=8_r=16_13.txt,1,1,0.21144124999409541,0.011202250025235116
n=8_r=16_14.txt,0,0,0.0004817919689230621,0.00044479104690253735
n=8_r=16_15.txt,1,1,0.05328291701152921,0.043177957995794713
n=8_r=16_16.txt,1,1,0.20860745798563585,0.010754082992207259
n=8_r=16_17.txt,1,1,0.45226316701155156,0.014781499980017543
n=8_r=16_18.txt,1,1,0.08504137495765463,0.008551000035367906
n=8_r=16_19.txt,1,1,0.07504404103383422,0.005608375009614974
n=8_r=16_20.txt,3,3,0.06360741698881611,0.002957249991595745
n=8_r=16_21.txt,1,1,0.13444708299357444,0.0864001659792848
n=8_r=16_22.txt,1,1,0.19771691603818908,0.018862750031985343
n=8_r=16_23.txt,0,0,0.0004952090093865991,0.0004300830187276006
n=8_r=16_24.txt,2,2,0.057332958036568016,0.0037728339666500688
