Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=35_0.txt,1,1,222.2504959590151,1.1018392500118352
n=8_r=35_1.txt,5,5,108.52776466601063,1.8922732920036651
n=8_r=35_2.txt,2,2,285.6140128329862,0.6981570409843698
n=8_r=35_3.txt,5,5,110.81854479201138,0.6728941249893978
n=8_r=35_4.txt,1,1,281.68112825002754,8.794017874985002
n=8_r=35_5.txt,5,5,207.7087018750026,1.961247417028062
n=8_r=35_6.txt,3,3,28.125914541014936,0.08943925000494346
n=8_r=35_7.txt,3,3,588.6542036249884,10.48468595801387
n=8_r=35_8.txt,2,3,238.29786508402321,0.44357275002403185
n=8_r=35_9.txt,2,3,123.41799966600956,0.19465145794674754
n=8_r=35_10.txt,7,7,26.285940249974374,0.21987700002500787
n=8_r=35_11.txt,3,3,250.01670570799615,0.8554374999948777
n=8_r=35_12.txt,3,3,647.7350745410076,0.864805624994915
n=8_r=35_13.txt,2,2,71.56240608298685,0.013290083967149258
n=8_r=35_14.txt,2,2,605.9603948330041,0.21989991702139378
n=8_r=35_15.txt,2,3,62.174219125008676,0.44180012500146404
n=8_r=35_16.txt,3,3,106.2558382920106,21.11558308295207
n=8_r=35_17.txt,5,6,338.87858225003583,0.027725833002477884
n=8_r=35_18.txt,6,6,308.75513087498257,7.121962082979735
n=8_r=35_19.txt,2,2,11.284878624952398,0.025196541973855346
n=8_r=35_20.txt,2,3,107.46842879103497,0.27271099999779835
n=8_r=35_21.txt,1,1,70.35950983397197,0.07834920799359679
n=8_r=35_22.txt,4,4,48.74523016595049,2.312768292031251
n=8_r=35_23.txt,7,7,60.37466445798054,3.4047687080455944
n=8_r=35_24.txt,4,4,10.368611167010386,0.16141562501434237
