Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=24_0.txt,4,5,1.1720259159919806,0.027532625012099743
n=8_r=24_1.txt,2,2,0.43275520799215883,0.2238359590410255
n=8_r=24_2.txt,3,3,0.5875649169902317,0.31104191701160744
n=8_r=24_3.txt,2,2,0.48458908300381154,0.007304792001377791
n=8_r=24_4.txt,2,3,0.3813153330120258,0.02769625000655651
n=8_r=24_5.txt,2,4,1.7310290000168607,0.21745812497101724
n=8_r=24_6.txt,1,1,36.3560909589869,0.22007362497970462
n=8_r=24_7.txt,2,2,2.706757124979049,0.02856466599041596
n=8_r=24_8.txt,1,1,2.2596498749917373,0.01479116699192673
n=8_r=24_9.txt,1,2,4.5084863329539075,0.0567552910069935
n=8_r=24_10.txt,2,2,3.680498915957287,0.05167066695867106
n=8_r=24_11.txt,3,3,0.6011601249920204,0.005013708025217056
n=8_r=24_12.txt,2,2,1.735863125009928,0.030443583033047616
n=8_r=24_13.txt,1,2,13.317393167002592,0.09494375000940636
n=8_r=24_14.txt,2,3,2.47409225004958,0.48845250002341345
n=8_r=24_15.txt,1,1,1.7899630420142785,0.009311416011769325
n=8_r=24_16.txt,1,1,0.6974026660318486,0.011088999977800995
n=8_r=24_17.txt,1,1,4.180623708001804,0.019213708001188934
n=8_r=24_18.txt,2,2,2.2929229169967584,0.07865683303680271
n=8_r=24_19.txt,2,2,0.7543434999533929,0.010710291971918195
n=8_r=24_20.txt,2,2,1.1494585829786956,0.028482416993938386
n=8_r=24_21.txt,2,2,1.1237193750566803,0.11121454095700756
n=8_r=24_22.txt,2,2,2.783555208996404,0.0517486670287326
n=8_r=24_23.txt,2,2,0.9775103329448029,0.014114499965216964
n=8_r=24_24.txt,1,1,3.898140708974097,0.05675791704561561
