Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=13_0.txt,0,0,0.0003914170083589852,0.00038649997441098094
n=8_r=13_1.txt,0,0,0.00038654200034216046,0.00035262497840449214
n=8_r=13_2.txt,0,0,0.00039841601392254233,0.0003589169937185943
n=8_r=13_3.txt,0,0,0.0003887079656124115,0.00038775004213675857
n=8_r=13_4.txt,0,0,0.00039204099448397756,0.00039620796451345086
n=8_r=13_5.txt,1,1,0.023787124955561012,0.009647041035350412
n=8_r=13_6.txt,1,1,0.042179209005553275,0.02397358400048688
n=8_r=13_7.txt,0,0,0.0004022920038551092,0.0003750409814529121
n=8_r=13_8.txt,0,0,0.0004337080172263086,0.000360458972863853
n=8_r=13_9.txt,0,0,0.0003950420068576932,0.0004029169795103371
n=8_r=13_10.txt,1,1,0.04636937502073124,0.03634166601113975
n=8_r=13_11.txt,1,1,0.03769241599366069,0.005157000035978854
n=8_r=13_12.txt,0,0,0.0004457079921849072,0.000401749974116683
n=8_r=13_13.txt,1,1,0.03405675000976771,0.007204583962447941
n=8_r=13_14.txt,2,2,0.0984485000371933,0.05529120803112164
n=8_r=13_15.txt,1,1,0.031585457967594266,0.01792154199210927
n=8_r=13_16.txt,1,1,0.043516999983694404,0.04308933299034834
n=8_r=13_17.txt,1,1,0.07003683299990371,0.028888166998513043
n=8_r=13_18.txt,1,1,0.08231620799051598,0.021272291021887213
n=8_r=13_19.txt,1,1,0.07595875003607944,0.0020405830000527203
n=8_r=13_20.txt,1,1,0.04424266697606072,0.006469124986324459
n=8_r=13_21.txt,0,0,0.00044712499948218465,0.0003630420542322099
n=8_r=13_22.txt,2,2,0.03635291598038748,0.014480041980277747
n=8_r=13_23.txt,2,2,0.03066512499935925,0.009646666003391147
n=8_r=13_24.txt,0,0,0.0004438749747350812,0.000355791999027133
