Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=14_0.txt,1,1,0.05932962504448369,0.015390332962851971
n=8_r=14_1.txt,1,1,0.10564487497322261,0.010300499969162047
n=8_r=14_2.txt,1,1,0.11237454100046307,0.05061908299103379
n=8_r=14_3.txt,1,1,0.022549415996763855,0.011880540987476707
n=8_r=14_4.txt,1,1,0.05940354202175513,0.002816874999552965
n=8_r=14_5.txt,1,1,0.059956915967632085,0.007680499984417111
n=8_r=14_6.txt,1,1,0.03445074998307973,0.0027970829978585243
n=8_r=14_7.txt,1,1,0.026544708001893014,0.0144535829895176
n=8_r=14_8.txt,0,0,0.0004390000249259174,0.0004163340199738741
n=8_r=14_9.txt,1,1,0.029809499974362552,0.004151166998781264
n=8_r=14_10.txt,0,0,0.00037804199382662773,0.0004240419948473573
n=8_r=14_11.txt,0,0,0.0003879580181092024,0.00038233300438150764
n=8_r=14_12.txt,1,1,0.058810917020309716,0.059660291008185595
n=8_r=14_13.txt,0,0,0.0004425419610925019,0.00044579198583960533
n=8_r=14_14.txt,0,0,0.0004172910121269524,0.00040062505286186934
n=8_r=14_15.txt,0,0,0.0005579999997280538,0.000414125039242208
n=8_r=14_16.txt,1,1,0.034987582999747247,0.0003962499904446304
n=8_r=14_17.txt,1,1,0.11226741597056389,0.04561908298637718
n=8_r=14_18.txt,1,1,0.0294779579853639,0.0076459169504232705
n=8_r=14_19.txt,1,1,0.029778708005324006,0.007959417009260505
n=8_r=14_20.txt,3,3,0.03454058297211304,0.0051130420179106295
n=8_r=14_21.txt,1,1,0.013397041009739041,0.0010360829764977098
n=8_r=14_22.txt,0,0,0.00042558403220027685,0.0004065000102855265
n=8_r=14_23.txt,1,1,0.013372750021517277,0.0069752499694004655
n=8_r=14_24.txt,0,0,0.0004223749856464565,0.0004140420351177454
