Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=36_0.txt,2,2,437.95108487503603,0.40482670901110396
n=8_r=36_1.txt,3,3,116.68541770899901,0.7704617910203524
n=8_r=36_2.txt,1,1,24.324584291956853,0.6716181670199148
n=8_r=36_3.txt,2,2,434.4620920000016,1.3622077500331216
n=8_r=36_4.txt,1,1,241.51686316600535,2.0768400829983875
n=8_r=36_5.txt,3,3,1658.1348595829913,14.46147491701413
n=8_r=36_6.txt,4,4,62.15409500000533,2.3604947500280105
n=8_r=36_7.txt,2,2,182.58108233404346,4.07712170801824
n=8_r=36_8.txt,2,2,2664.7339838329935,2.4943752079852857
n=8_r=36_9.txt,3,3,613.5663135420182,0.128600790980272
n=8_r=36_10.txt,2,2,291.1432397919707,22.791074999957345
n=8_r=36_11.txt,4,5,115.9686660420266,4.110725000035018
n=8_r=36_12.txt,6,9,227.46876704203896,22.11292741703801
n=8_r=36_13.txt,3,3,34.252750334038865,0.010067082999739796
n=8_r=36_14.txt,2,2,167.482365208969,1.0536971249966882
n=8_r=36_15.txt,4,4,48.78021425002953,0.05963866604724899
n=8_r=36_16.txt,4,4,197.7870472499635,3.134623666992411
n=8_r=36_17.txt,2,2,143.2375624999986,0.3228877920191735
n=8_r=36_18.txt,4,4,43.5338519999641,0.93395691603655
n=8_r=36_19.txt,3,3,646.6806302919867,0.3608614159747958
n=8_r=36_20.txt,2,3,131.21086750004906,0.15185466699767858
n=8_r=36_21.txt,5,5,305.9855317499605,0.07483641599537805
n=8_r=36_22.txt,2,2,46.86737383302534,1.4245635829865932
n=8_r=36_23.txt,3,3,123.25500966701657,0.6777352499775589
n=8_r=36_24.txt,3,4,17.405767791031394,0.19230166700435802
