Input file,Exact minimum level,Heuristic minimum level,Exact runtime,Heuristic runtime
n=8_r=44_0.txt,4,4,9035.050259749987,0.15678816701984033
n=8_r=44_1.txt,,2,,0.035411707998719066
n=8_r=44_2.txt,,3,,10.082615624996834
n=8_r=44_3.txt,,5,,7.49177620903356
n=8_r=44_4.txt,,8,,0.0671849999926053
n=8_r=44_5.txt,,2,,0.05578787496779114
n=8_r=44_6.txt,,4,,0.6516890419879928
n=8_r=44_7.txt,,8,,0.9206198750180192
n=8_r=44_8.txt,,3,,0.302667708019726
n=8_r=44_9.txt,,5,,2.178290041978471
n=8_r=44_10.txt,,9,,1.953734207956586
n=8_r=44_11.txt,,5,,22.09433633397566
n=8_r=44_12.txt,,5,,1.664066625002306
n=8_r=44_13.txt,,3,,1.0673589590005577
n=8_r=44_14.txt,,3,,6.602851625008043
n=8_r=44_15.txt,,5,,5.072229083976708
n=8_r=44_16.txt,,3,,1.2700518330093473
n=8_r=44_17.txt,,3,,0.618415333039593
n=8_r=44_18.txt,,6,,0.5598378750146367
n=8_r=44_19.txt,,4,,11.297720999980811
n=8_r=44_20.txt,,8,,6.579767250048462
n=8_r=44_21.txt,,7,,0.20023108401801437
n=8_r=44_22.txt,,5,,7.965802624996286
n=8_r=44_23.txt,,4,,13.173876582994126
n=8_r=44_24.txt,,8,,0.2686625830247067
